assessment_score_id,student_id,course_id,assessment_id,points_possible,points_earned,retake_flag
TS-STU2026005-ASM01,STU2026005,ALG1-A,ASM01,25,10.5,No
TS-STU2026005-ASM02,STU2026005,ALG1-A,ASM02,25,16.7,No
TS-STU2026005-ASM03,STU2026005,ALG1-A,ASM03,25,18.4,No
TS-STU2026005-ASM04,STU2026005,ALG1-A,ASM04,100,71.8,No
TS-STU2026005-ASM05,STU2026005,ALG1-A,ASM05,25,24.3,No
TS-STU2026005-ASM06,STU2026005,ALG1-A,ASM06,25,19.7,No
TS-STU2026005-ASM07,STU2026005,ALG1-A,ASM07,25,18.5,No
TS-STU2026005-ASM08,STU2026005,ALG1-A,ASM08,100,96.2,Yes
TS-STU2026006-ASM01,STU2026006,ALG1-A,ASM01,25,17.1,No
TS-STU2026006-ASM02,STU2026006,ALG1-A,ASM02,25,17.1,Yes
TS-STU2026006-ASM03,STU2026006,ALG1-A,ASM03,25,14.6,No
TS-STU2026006-ASM04,STU2026006,ALG1-A,ASM04,100,45.9,No
TS-STU2026006-ASM05,STU2026006,ALG1-A,ASM05,25,14.1,No
TS-STU2026006-ASM06,STU2026006,ALG1-A,ASM06,25,12.6,No
TS-STU2026006-ASM07,STU2026006,ALG1-A,ASM07,25,18.8,No
TS-STU2026006-ASM08,STU2026006,ALG1-A,ASM08,100,75.5,No
TS-STU2026007-ASM01,STU2026007,ALG1-A,ASM01,25,14.5,Yes
TS-STU2026007-ASM02,STU2026007,ALG1-A,ASM02,25,11.8,No
TS-STU2026007-ASM03,STU2026007,ALG1-A,ASM03,25,14.4,No
TS-STU2026007-ASM04,STU2026007,ALG1-A,ASM04,100,34.6,No
TS-STU2026007-ASM05,STU2026007,ALG1-A,ASM05,25,14.1,No
TS-STU2026007-ASM06,STU2026007,ALG1-A,ASM06,25,11.0,No
TS-STU2026007-ASM07,STU2026007,ALG1-A,ASM07,25,12.7,No
TS-STU2026007-ASM08,STU2026007,ALG1-A,ASM08,100,75.7,No
TS-STU2026008-ASM01,STU2026008,ALG1-A,ASM01,25,13.2,No
TS-STU2026008-ASM02,STU2026008,ALG1-A,ASM02,25,17.5,No
TS-STU2026008-ASM03,STU2026008,ALG1-A,ASM03,25,12.6,No
TS-STU2026008-ASM04,STU2026008,ALG1-A,ASM04,100,54.3,No
TS-STU2026008-ASM05,STU2026008,ALG1-A,ASM05,25,15.0,No
TS-STU2026008-ASM06,STU2026008,ALG1-A,ASM06,25,8.1,No
TS-STU2026008-ASM07,STU2026008,ALG1-A,ASM07,25,16.1,No
TS-STU2026008-ASM08,STU2026008,ALG1-A,ASM08,100,42.8,No
TS-STU2026009-ASM01,STU2026009,ALG1-A,ASM01,25,18.8,No
TS-STU2026009-ASM02,STU2026009,ALG1-A,ASM02,25,16.0,No
TS-STU2026009-ASM03,STU2026009,ALG1-A,ASM03,25,23.8,No
TS-STU2026009-ASM04,STU2026009,ALG1-A,ASM04,100,75.7,No
TS-STU2026009-ASM05,STU2026009,ALG1-A,ASM05,25,20.2,No
TS-STU2026009-ASM06,STU2026009,ALG1-A,ASM06,25,18.6,No
TS-STU2026009-ASM07,STU2026009,ALG1-A,ASM07,25,14.2,No
TS-STU2026009-ASM08,STU2026009,ALG1-A,ASM08,100,78.2,No
TS-STU2026010-ASM01,STU2026010,ALG1-A,ASM01,25,12.2,No
TS-STU2026010-ASM02,STU2026010,ALG1-A,ASM02,25,17.1,No
TS-STU2026010-ASM03,STU2026010,ALG1-A,ASM03,25,18.5,No
TS-STU2026010-ASM04,STU2026010,ALG1-A,ASM04,100,65.2,Yes
TS-STU2026010-ASM05,STU2026010,ALG1-A,ASM05,25,16.6,No
TS-STU2026010-ASM06,STU2026010,ALG1-A,ASM06,25,19.3,No
TS-STU2026010-ASM07,STU2026010,ALG1-A,ASM07,25,23.2,No
TS-STU2026010-ASM08,STU2026010,ALG1-A,ASM08,100,68.5,Yes
TS-STU2026011-ASM01,STU2026011,ALG1-A,ASM01,25,23.1,No
TS-STU2026011-ASM02,STU2026011,ALG1-A,ASM02,25,25.0,No
TS-STU2026011-ASM03,STU2026011,ALG1-A,ASM03,25,23.4,No
TS-STU2026011-ASM04,STU2026011,ALG1-A,ASM04,100,87.1,No
TS-STU2026011-ASM05,STU2026011,ALG1-A,ASM05,25,23.3,No
TS-STU2026011-ASM06,STU2026011,ALG1-A,ASM06,25,22.1,No
TS-STU2026011-ASM07,STU2026011,ALG1-A,ASM07,25,16.5,No
TS-STU2026011-ASM08,STU2026011,ALG1-A,ASM08,100,84.3,No
TS-STU2026012-ASM01,STU2026012,ALG1-A,ASM01,25,12.8,Yes
TS-STU2026012-ASM02,STU2026012,ALG1-A,ASM02,25,16.7,Yes
TS-STU2026012-ASM03,STU2026012,ALG1-A,ASM03,25,14.8,No
TS-STU2026012-ASM04,STU2026012,ALG1-A,ASM04,100,46.0,No
TS-STU2026012-ASM05,STU2026012,ALG1-A,ASM05,25,17.7,No
TS-STU2026012-ASM06,STU2026012,ALG1-A,ASM06,25,13.6,No
TS-STU2026012-ASM07,STU2026012,ALG1-A,ASM07,25,11.1,No
TS-STU2026012-ASM08,STU2026012,ALG1-A,ASM08,100,66.6,Yes
TS-STU2026013-ASM01,STU2026013,ALG1-A,ASM01,25,13.8,No
TS-STU2026013-ASM02,STU2026013,ALG1-A,ASM02,25,18.2,No
TS-STU2026013-ASM03,STU2026013,ALG1-A,ASM03,25,18.8,No
TS-STU2026013-ASM04,STU2026013,ALG1-A,ASM04,100,93.0,No
TS-STU2026013-ASM05,STU2026013,ALG1-A,ASM05,25,18.5,No
TS-STU2026013-ASM06,STU2026013,ALG1-A,ASM06,25,9.9,No
TS-STU2026013-ASM07,STU2026013,ALG1-A,ASM07,25,14.7,Yes
TS-STU2026013-ASM08,STU2026013,ALG1-A,ASM08,100,78.0,No
TS-STU2026014-ASM01,STU2026014,ALG1-A,ASM01,25,25.0,Yes
TS-STU2026014-ASM02,STU2026014,ALG1-A,ASM02,25,25.0,No
TS-STU2026014-ASM03,STU2026014,ALG1-A,ASM03,25,25.0,No
TS-STU2026014-ASM04,STU2026014,ALG1-A,ASM04,100,91.2,No
TS-STU2026014-ASM05,STU2026014,ALG1-A,ASM05,25,24.3,No
TS-STU2026014-ASM06,STU2026014,ALG1-A,ASM06,25,22.6,No
TS-STU2026014-ASM07,STU2026014,ALG1-A,ASM07,25,21.4,No
TS-STU2026014-ASM08,STU2026014,ALG1-A,ASM08,100,100.0,No
TS-STU2026015-ASM01,STU2026015,ALG1-A,ASM01,25,20.2,No
TS-STU2026015-ASM02,STU2026015,ALG1-A,ASM02,25,20.1,No
TS-STU2026015-ASM03,STU2026015,ALG1-A,ASM03,25,21.2,No
TS-STU2026015-ASM04,STU2026015,ALG1-A,ASM04,100,59.2,No
TS-STU2026015-ASM05,STU2026015,ALG1-A,ASM05,25,17.4,No
TS-STU2026015-ASM06,STU2026015,ALG1-A,ASM06,25,18.5,No
TS-STU2026015-ASM07,STU2026015,ALG1-A,ASM07,25,20.1,No
TS-STU2026015-ASM08,STU2026015,ALG1-A,ASM08,100,64.7,No
TS-STU2026016-ASM01,STU2026016,ALG1-A,ASM01,25,13.9,No
TS-STU2026016-ASM02,STU2026016,ALG1-A,ASM02,25,17.6,No
TS-STU2026016-ASM03,STU2026016,ALG1-A,ASM03,25,13.5,No
TS-STU2026016-ASM04,STU2026016,ALG1-A,ASM04,100,73.2,No
TS-STU2026016-ASM05,STU2026016,ALG1-A,ASM05,25,16.3,No
TS-STU2026016-ASM06,STU2026016,ALG1-A,ASM06,25,11.6,No
TS-STU2026016-ASM07,STU2026016,ALG1-A,ASM07,25,16.2,No
TS-STU2026016-ASM08,STU2026016,ALG1-A,ASM08,100,47.7,No
TS-STU2026017-ASM01,STU2026017,ALG1-A,ASM01,25,20.4,No
TS-STU2026017-ASM02,STU2026017,ALG1-A,ASM02,25,25.0,No
TS-STU2026017-ASM03,STU2026017,ALG1-A,ASM03,25,16.7,No
TS-STU2026017-ASM04,STU2026017,ALG1-A,ASM04,100,88.0,No
TS-STU2026017-ASM05,STU2026017,ALG1-A,ASM05,25,19.7,No
TS-STU2026017-ASM06,STU2026017,ALG1-A,ASM06,25,25.0,No
TS-STU2026017-ASM07,STU2026017,ALG1-A,ASM07,25,23.5,No
TS-STU2026017-ASM08,STU2026017,ALG1-A,ASM08,100,80.2,No
TS-STU2026018-ASM01,STU2026018,ALG1-A,ASM01,25,16.0,No
TS-STU2026018-ASM02,STU2026018,ALG1-A,ASM02,25,17.8,No
TS-STU2026018-ASM03,STU2026018,ALG1-A,ASM03,25,14.2,No
TS-STU2026018-ASM04,STU2026018,ALG1-A,ASM04,100,61.7,No
TS-STU2026018-ASM05,STU2026018,ALG1-A,ASM05,25,13.9,No
TS-STU2026018-ASM06,STU2026018,ALG1-A,ASM06,25,18.3,Yes
TS-STU2026018-ASM07,STU2026018,ALG1-A,ASM07,25,16.6,No
TS-STU2026018-ASM08,STU2026018,ALG1-A,ASM08,100,51.6,No
TS-STU2026019-ASM01,STU2026019,ALG1-A,ASM01,25,14.6,No
TS-STU2026019-ASM02,STU2026019,ALG1-A,ASM02,25,14.0,No
TS-STU2026019-ASM03,STU2026019,ALG1-A,ASM03,25,10.0,No
TS-STU2026019-ASM04,STU2026019,ALG1-A,ASM04,100,48.5,Yes
TS-STU2026019-ASM05,STU2026019,ALG1-A,ASM05,25,11.1,No
TS-STU2026019-ASM06,STU2026019,ALG1-A,ASM06,25,6.8,No
TS-STU2026019-ASM07,STU2026019,ALG1-A,ASM07,25,6.5,No
TS-STU2026019-ASM08,STU2026019,ALG1-A,ASM08,100,34.2,No
TS-STU2026020-ASM01,STU2026020,ALG1-A,ASM01,25,20.7,No
TS-STU2026020-ASM02,STU2026020,ALG1-A,ASM02,25,25.0,No
TS-STU2026020-ASM03,STU2026020,ALG1-A,ASM03,25,23.4,No
TS-STU2026020-ASM04,STU2026020,ALG1-A,ASM04,100,97.7,No
TS-STU2026020-ASM05,STU2026020,ALG1-A,ASM05,25,18.5,No
TS-STU2026020-ASM06,STU2026020,ALG1-A,ASM06,25,23.9,No
TS-STU2026020-ASM07,STU2026020,ALG1-A,ASM07,25,22.8,No
TS-STU2026020-ASM08,STU2026020,ALG1-A,ASM08,100,72.9,No
TS-STU2026021-ASM01,STU2026021,ALG1-A,ASM01,25,20.1,No
TS-STU2026021-ASM02,STU2026021,ALG1-A,ASM02,25,16.9,No
TS-STU2026021-ASM03,STU2026021,ALG1-A,ASM03,25,16.7,No
TS-STU2026021-ASM04,STU2026021,ALG1-A,ASM04,100,65.0,No
TS-STU2026021-ASM05,STU2026021,ALG1-A,ASM05,25,22.1,No
TS-STU2026021-ASM06,STU2026021,ALG1-A,ASM06,25,19.0,No
TS-STU2026021-ASM07,STU2026021,ALG1-A,ASM07,25,15.2,Yes
TS-STU2026021-ASM08,STU2026021,ALG1-A,ASM08,100,68.2,No
TS-STU2026022-ASM01,STU2026022,ALG1-A,ASM01,25,17.7,No
TS-STU2026022-ASM02,STU2026022,ALG1-A,ASM02,25,19.1,No
TS-STU2026022-ASM03,STU2026022,ALG1-A,ASM03,25,18.2,No
TS-STU2026022-ASM04,STU2026022,ALG1-A,ASM04,100,62.7,No
TS-STU2026022-ASM05,STU2026022,ALG1-A,ASM05,25,22.8,No
TS-STU2026022-ASM06,STU2026022,ALG1-A,ASM06,25,16.7,No
TS-STU2026022-ASM07,STU2026022,ALG1-A,ASM07,25,19.8,No
TS-STU2026022-ASM08,STU2026022,ALG1-A,ASM08,100,90.1,No
TS-STU2026023-ASM01,STU2026023,ALG1-A,ASM01,25,18.2,No
TS-STU2026023-ASM02,STU2026023,ALG1-A,ASM02,25,22.2,No
TS-STU2026023-ASM03,STU2026023,ALG1-A,ASM03,25,17.2,No
TS-STU2026023-ASM04,STU2026023,ALG1-A,ASM04,100,78.1,No
TS-STU2026023-ASM05,STU2026023,ALG1-A,ASM05,25,16.0,No
TS-STU2026023-ASM06,STU2026023,ALG1-A,ASM06,25,14.7,No
TS-STU2026023-ASM07,STU2026023,ALG1-A,ASM07,25,14.0,No
TS-STU2026023-ASM08,STU2026023,ALG1-A,ASM08,100,73.5,No
TS-STU2026024-ASM01,STU2026024,ALG1-A,ASM01,25,14.4,Yes
TS-STU2026024-ASM02,STU2026024,ALG1-A,ASM02,25,21.1,No
TS-STU2026024-ASM03,STU2026024,ALG1-A,ASM03,25,15.6,No
TS-STU2026024-ASM04,STU2026024,ALG1-A,ASM04,100,63.9,No
TS-STU2026024-ASM05,STU2026024,ALG1-A,ASM05,25,15.4,No
TS-STU2026024-ASM06,STU2026024,ALG1-A,ASM06,25,18.3,No
TS-STU2026024-ASM07,STU2026024,ALG1-A,ASM07,25,16.9,No
TS-STU2026024-ASM08,STU2026024,ALG1-A,ASM08,100,55.7,No
TS-STU2026025-ASM01,STU2026025,ALG1-A,ASM01,25,16.7,No
TS-STU2026025-ASM02,STU2026025,ALG1-A,ASM02,25,16.1,Yes
TS-STU2026025-ASM03,STU2026025,ALG1-A,ASM03,25,17.7,No
TS-STU2026025-ASM04,STU2026025,ALG1-A,ASM04,100,69.5,No
TS-STU2026025-ASM05,STU2026025,ALG1-A,ASM05,25,17.1,No
TS-STU2026025-ASM06,STU2026025,ALG1-A,ASM06,25,18.2,No
TS-STU2026025-ASM07,STU2026025,ALG1-A,ASM07,25,14.6,No
TS-STU2026025-ASM08,STU2026025,ALG1-A,ASM08,100,55.2,No
TS-STU2026026-ASM01,STU2026026,ALG1-A,ASM01,25,19.8,No
TS-STU2026026-ASM02,STU2026026,ALG1-A,ASM02,25,15.9,No
TS-STU2026026-ASM03,STU2026026,ALG1-A,ASM03,25,25.0,No
TS-STU2026026-ASM04,STU2026026,ALG1-A,ASM04,100,83.3,No
TS-STU2026026-ASM05,STU2026026,ALG1-A,ASM05,25,17.6,No
TS-STU2026026-ASM06,STU2026026,ALG1-A,ASM06,25,20.1,No
TS-STU2026026-ASM07,STU2026026,ALG1-A,ASM07,25,25.0,No
TS-STU2026026-ASM08,STU2026026,ALG1-A,ASM08,100,77.9,No
TS-STU2026027-ASM01,STU2026027,ALG1-A,ASM01,25,16.2,No
TS-STU2026027-ASM02,STU2026027,ALG1-A,ASM02,25,16.8,No
TS-STU2026027-ASM03,STU2026027,ALG1-A,ASM03,25,18.0,No
TS-STU2026027-ASM04,STU2026027,ALG1-A,ASM04,100,62.6,No
TS-STU2026027-ASM05,STU2026027,ALG1-A,ASM05,25,13.3,No
TS-STU2026027-ASM06,STU2026027,ALG1-A,ASM06,25,16.9,No
TS-STU2026027-ASM07,STU2026027,ALG1-A,ASM07,25,13.4,Yes
TS-STU2026027-ASM08,STU2026027,ALG1-A,ASM08,100,61.5,No
TS-STU2026028-ASM01,STU2026028,ALG1-A,ASM01,25,15.3,No
TS-STU2026028-ASM02,STU2026028,ALG1-A,ASM02,25,16.0,No
TS-STU2026028-ASM03,STU2026028,ALG1-A,ASM03,25,18.2,No
TS-STU2026028-ASM04,STU2026028,ALG1-A,ASM04,100,64.9,No
TS-STU2026028-ASM05,STU2026028,ALG1-A,ASM05,25,18.9,No
TS-STU2026028-ASM06,STU2026028,ALG1-A,ASM06,25,11.9,No
TS-STU2026028-ASM07,STU2026028,ALG1-A,ASM07,25,15.0,No
TS-STU2026028-ASM08,STU2026028,ALG1-A,ASM08,100,63.4,No
TS-STU2026029-ASM01,STU2026029,ALG1-A,ASM01,25,16.1,No
TS-STU2026029-ASM02,STU2026029,ALG1-A,ASM02,25,22.1,No
TS-STU2026029-ASM03,STU2026029,ALG1-A,ASM03,25,21.6,Yes
TS-STU2026029-ASM04,STU2026029,ALG1-A,ASM04,100,65.9,No
TS-STU2026029-ASM05,STU2026029,ALG1-A,ASM05,25,20.3,No
TS-STU2026029-ASM06,STU2026029,ALG1-A,ASM06,25,23.5,No
TS-STU2026029-ASM07,STU2026029,ALG1-A,ASM07,25,20.5,Yes
TS-STU2026029-ASM08,STU2026029,ALG1-A,ASM08,100,78.2,Yes
TS-STU2026030-ASM01,STU2026030,ALG1-A,ASM01,25,25.0,No
TS-STU2026030-ASM02,STU2026030,ALG1-A,ASM02,25,21.9,No
TS-STU2026030-ASM03,STU2026030,ALG1-A,ASM03,25,25.0,No
TS-STU2026030-ASM04,STU2026030,ALG1-A,ASM04,100,100.0,No
TS-STU2026030-ASM05,STU2026030,ALG1-A,ASM05,25,24.6,Yes
TS-STU2026030-ASM06,STU2026030,ALG1-A,ASM06,25,22.3,Yes
TS-STU2026030-ASM07,STU2026030,ALG1-A,ASM07,25,24.3,No
TS-STU2026030-ASM08,STU2026030,ALG1-A,ASM08,100,73.7,No
TS-STU2026031-ASM01,STU2026031,ALG1-A,ASM01,25,18.1,No
TS-STU2026031-ASM02,STU2026031,ALG1-A,ASM02,25,15.6,No
TS-STU2026031-ASM03,STU2026031,ALG1-A,ASM03,25,19.8,No
TS-STU2026031-ASM04,STU2026031,ALG1-A,ASM04,100,63.0,No
TS-STU2026031-ASM05,STU2026031,ALG1-A,ASM05,25,16.6,No
TS-STU2026031-ASM06,STU2026031,ALG1-A,ASM06,25,18.1,No
TS-STU2026031-ASM07,STU2026031,ALG1-A,ASM07,25,15.8,Yes
TS-STU2026031-ASM08,STU2026031,ALG1-A,ASM08,100,54.5,No
TS-STU2026032-ASM01,STU2026032,ALG1-A,ASM01,25,15.6,No
TS-STU2026032-ASM02,STU2026032,ALG1-A,ASM02,25,13.0,No
TS-STU2026032-ASM03,STU2026032,ALG1-A,ASM03,25,9.5,No
TS-STU2026032-ASM04,STU2026032,ALG1-A,ASM04,100,49.8,No
TS-STU2026032-ASM05,STU2026032,ALG1-A,ASM05,25,17.8,No
TS-STU2026032-ASM06,STU2026032,ALG1-A,ASM06,25,15.3,No
TS-STU2026032-ASM07,STU2026032,ALG1-A,ASM07,25,8.6,No
TS-STU2026032-ASM08,STU2026032,ALG1-A,ASM08,100,48.4,No
TS-STU2026033-ASM01,STU2026033,ALG1-A,ASM01,25,20.2,No
TS-STU2026033-ASM02,STU2026033,ALG1-A,ASM02,25,13.2,No
TS-STU2026033-ASM03,STU2026033,ALG1-A,ASM03,25,13.2,Yes
TS-STU2026033-ASM04,STU2026033,ALG1-A,ASM04,100,69.6,No
TS-STU2026033-ASM05,STU2026033,ALG1-A,ASM05,25,12.9,No
TS-STU2026033-ASM06,STU2026033,ALG1-A,ASM06,25,11.4,Yes
TS-STU2026033-ASM07,STU2026033,ALG1-A,ASM07,25,12.7,No
TS-STU2026033-ASM08,STU2026033,ALG1-A,ASM08,100,53.5,Yes
TS-STU2026034-ASM01,STU2026034,ALG1-A,ASM01,25,21.2,Yes
TS-STU2026034-ASM02,STU2026034,ALG1-A,ASM02,25,23.5,No
TS-STU2026034-ASM03,STU2026034,ALG1-A,ASM03,25,21.7,Yes
TS-STU2026034-ASM04,STU2026034,ALG1-A,ASM04,100,77.4,No
TS-STU2026034-ASM05,STU2026034,ALG1-A,ASM05,25,21.4,No
TS-STU2026034-ASM06,STU2026034,ALG1-A,ASM06,25,22.5,No
TS-STU2026034-ASM07,STU2026034,ALG1-A,ASM07,25,21.1,No
TS-STU2026034-ASM08,STU2026034,ALG1-A,ASM08,100,99.5,No
TS-STU2026035-ASM01,STU2026035,ALG1-A,ASM01,25,23.2,No
TS-STU2026035-ASM02,STU2026035,ALG1-A,ASM02,25,18.0,No
TS-STU2026035-ASM03,STU2026035,ALG1-A,ASM03,25,19.3,No
TS-STU2026035-ASM04,STU2026035,ALG1-A,ASM04,100,90.5,No
TS-STU2026035-ASM05,STU2026035,ALG1-A,ASM05,25,23.5,No
TS-STU2026035-ASM06,STU2026035,ALG1-A,ASM06,25,21.7,No
TS-STU2026035-ASM07,STU2026035,ALG1-A,ASM07,25,21.6,No
TS-STU2026035-ASM08,STU2026035,ALG1-A,ASM08,100,77.5,No
TS-STU2026036-ASM01,STU2026036,ALG1-A,ASM01,25,19.1,No
TS-STU2026036-ASM02,STU2026036,ALG1-A,ASM02,25,14.5,No
TS-STU2026036-ASM03,STU2026036,ALG1-A,ASM03,25,24.0,No
TS-STU2026036-ASM04,STU2026036,ALG1-A,ASM04,100,100.0,No
TS-STU2026036-ASM05,STU2026036,ALG1-A,ASM05,25,23.8,Yes
TS-STU2026036-ASM06,STU2026036,ALG1-A,ASM06,25,19.0,No
TS-STU2026036-ASM07,STU2026036,ALG1-A,ASM07,25,17.3,No
TS-STU2026036-ASM08,STU2026036,ALG1-A,ASM08,100,56.6,No
TS-STU2026037-ASM01,STU2026037,ALG1-A,ASM01,25,21.4,No
TS-STU2026037-ASM02,STU2026037,ALG1-A,ASM02,25,22.0,No
TS-STU2026037-ASM03,STU2026037,ALG1-A,ASM03,25,18.1,No
TS-STU2026037-ASM04,STU2026037,ALG1-A,ASM04,100,74.3,No
TS-STU2026037-ASM05,STU2026037,ALG1-A,ASM05,25,21.5,Yes
TS-STU2026037-ASM06,STU2026037,ALG1-A,ASM06,25,24.1,No
TS-STU2026037-ASM07,STU2026037,ALG1-A,ASM07,25,24.2,No
TS-STU2026037-ASM08,STU2026037,ALG1-A,ASM08,100,100.0,No
TS-STU2026038-ASM01,STU2026038,ALG1-A,ASM01,25,20.7,No
TS-STU2026038-ASM02,STU2026038,ALG1-A,ASM02,25,20.1,No
TS-STU2026038-ASM03,STU2026038,ALG1-A,ASM03,25,22.9,No
TS-STU2026038-ASM04,STU2026038,ALG1-A,ASM04,100,89.4,No
TS-STU2026038-ASM05,STU2026038,ALG1-A,ASM05,25,18.5,No
TS-STU2026038-ASM06,STU2026038,ALG1-A,ASM06,25,21.3,No
TS-STU2026038-ASM07,STU2026038,ALG1-A,ASM07,25,25.0,No
TS-STU2026038-ASM08,STU2026038,ALG1-A,ASM08,100,89.2,No
TS-STU2026039-ASM01,STU2026039,ALG1-A,ASM01,25,11.6,No
TS-STU2026039-ASM02,STU2026039,ALG1-A,ASM02,25,16.3,No
TS-STU2026039-ASM03,STU2026039,ALG1-A,ASM03,25,12.0,No
TS-STU2026039-ASM04,STU2026039,ALG1-A,ASM04,100,71.1,No
TS-STU2026039-ASM05,STU2026039,ALG1-A,ASM05,25,17.2,No
TS-STU2026039-ASM06,STU2026039,ALG1-A,ASM06,25,18.4,No
TS-STU2026039-ASM07,STU2026039,ALG1-A,ASM07,25,19.7,No
TS-STU2026039-ASM08,STU2026039,ALG1-A,ASM08,100,86.8,No
TS-STU2026040-ASM01,STU2026040,ALG1-A,ASM01,25,22.3,No
TS-STU2026040-ASM02,STU2026040,ALG1-A,ASM02,25,22.2,No
TS-STU2026040-ASM03,STU2026040,ALG1-A,ASM03,25,25.0,No
TS-STU2026040-ASM04,STU2026040,ALG1-A,ASM04,100,100.0,Yes
TS-STU2026040-ASM05,STU2026040,ALG1-A,ASM05,25,19.1,No
TS-STU2026040-ASM06,STU2026040,ALG1-A,ASM06,25,21.9,No
TS-STU2026040-ASM07,STU2026040,ALG1-A,ASM07,25,24.3,No
TS-STU2026040-ASM08,STU2026040,ALG1-A,ASM08,100,84.8,No
TS-STU2026041-ASM01,STU2026041,ALG1-B,ASM01,25,20.9,No
TS-STU2026041-ASM02,STU2026041,ALG1-B,ASM02,25,22.3,No
TS-STU2026041-ASM03,STU2026041,ALG1-B,ASM03,25,20.6,No
TS-STU2026041-ASM04,STU2026041,ALG1-B,ASM04,100,42.4,No
TS-STU2026041-ASM05,STU2026041,ALG1-B,ASM05,25,13.5,Yes
TS-STU2026041-ASM06,STU2026041,ALG1-B,ASM06,25,16.6,No
TS-STU2026041-ASM07,STU2026041,ALG1-B,ASM07,25,17.5,No
TS-STU2026041-ASM08,STU2026041,ALG1-B,ASM08,100,69.9,No
TS-STU2026042-ASM01,STU2026042,ALG1-B,ASM01,25,23.2,No
TS-STU2026042-ASM02,STU2026042,ALG1-B,ASM02,25,19.1,No
TS-STU2026042-ASM03,STU2026042,ALG1-B,ASM03,25,24.3,No
TS-STU2026042-ASM04,STU2026042,ALG1-B,ASM04,100,88.9,No
TS-STU2026042-ASM05,STU2026042,ALG1-B,ASM05,25,24.3,Yes
TS-STU2026042-ASM06,STU2026042,ALG1-B,ASM06,25,25.0,No
TS-STU2026042-ASM07,STU2026042,ALG1-B,ASM07,25,16.2,Yes
TS-STU2026042-ASM08,STU2026042,ALG1-B,ASM08,100,64.0,No
TS-STU2026043-ASM01,STU2026043,ALG1-B,ASM01,25,16.8,Yes
TS-STU2026043-ASM02,STU2026043,ALG1-B,ASM02,25,24.7,No
TS-STU2026043-ASM03,STU2026043,ALG1-B,ASM03,25,22.6,Yes
TS-STU2026043-ASM04,STU2026043,ALG1-B,ASM04,100,82.1,No
TS-STU2026043-ASM05,STU2026043,ALG1-B,ASM05,25,22.3,No
TS-STU2026043-ASM06,STU2026043,ALG1-B,ASM06,25,22.4,No
TS-STU2026043-ASM07,STU2026043,ALG1-B,ASM07,25,21.3,No
TS-STU2026043-ASM08,STU2026043,ALG1-B,ASM08,100,93.3,Yes
TS-STU2026044-ASM01,STU2026044,ALG1-B,ASM01,25,17.2,No
TS-STU2026044-ASM02,STU2026044,ALG1-B,ASM02,25,17.5,Yes
