enrollment_id,student_id,course_id,enrollment_start,enrollment_end
ENR-STU2026150-ALG1-D,STU2026150,ALG1-D,2026-09-08,
ENR-STU2026151-ALG1-D,STU2026151,ALG1-D,2026-09-08,
ENR-STU2026152-ALG1-D,STU2026152,ALG1-D,2026-09-08,
ENR-STU2026153-ALG1-D,STU2026153,ALG1-D,2026-09-08,
ENR-STU2026154-ALG1-D,STU2026154,ALG1-D,2026-09-08,
ENR-STU2026155-ALG1-D,STU2026155,ALG1-D,2026-09-08,
ENR-STU2026156-ALG1-D,STU2026156,ALG1-D,2026-09-08,
ENR-STU2026157-ALG1-D,STU2026157,ALG1-D,2026-09-08,
ENR-STU2026158-ALG1-D,STU2026158,ALG1-D,2026-09-08,
ENR-STU2026159-ALG1-D,STU2026159,ALG1-D,2026-09-08,
ENR-STU2026160-ALG1-D,STU2026160,ALG1-D,2026-09-08,
